ID,Text,Gold label
25607311,"I saw a really nice post on stackoverflow on the difference between GoogleApiClient and GoogleAuthUtil. I am trying to understand where the google-api-java-client (and google-api-java-client-android) library sits with respect to GoogleApiClient in terms of accessing native google APIs. Details on the library here 1) If I want to access my own endpoints API, it would appear google-api-java-client is a better approach than GoogleAuthUtil (and clearly GoogleApiClient won't help there other than perhaps just picking an account and handling play services integration/update/missing/etc dialogs). 2) for native google APIs (eg Drive, Maps, Calendar, etc), which of the two would be the recommended approach? Thanks.",positive
25386947,"I tried so many different ways for printing without dialog box but i couldnt find any solutions. I will buy for good solution. I have an idea about this situation; I will use System.Windows.Forms.WebBrowser(). if i use an Button1 As System.Windows.Forms.Button for webbrowser.print, printing directly without dialog box. Can i use this button in html code?",negative
25419608,I have a general style definition as Now want to apply a different style only for in extra small screens (xs) only as follows. How can I do it? Thanks,neutral
25727724,"My category.php uses wp_list_categories to display the subcategories for certain categories, and also display the sibling categories for those subcategories. The particular subcategories is defined in the following string: I'd like to replace this with an array for easier maintenance as the relevant categories change. I've written the following: This is working on the parent category pages, but not the subcategory pages. On the subcategories, the siblings are not displaying. Can cat_is_ancestor_of use an array for the first variable?",neutral
25346200,"I'm trying to test my controller which deal with images by paperclip. However, when I ran rspec, there are a lot of strange warnings from paperclip I guess. The warnings are look like this: Can anyone tell me what are those warnings and how can I fix it? Environment infos: Rails 4.1.4, latest paperclip, mongoid-paperclip.",neutral
25553132,"One great feature of TravisCI is the ability to add a to your repository which describes how Travis should run your build. Is something similar possible with TeamCity? I've done some pretty heavy configuration for enterprise TeamCity servers so I'm fairly well versed in it, but I've never seen or heard of this type of configuration and so far as I can tell it's not in the docs. I'd be okay with a plugin as well, assuming it's stable.",positive
25604812,I've put all my Views in their own folders in Visual Studio and now the content is not rendering anymore. From where do I have to set the path for them to render?,neutral
25525915,"I have a content filter which is based off of some GET variables to get records of a certain category and list them. If the number of records exceeds the records per page setting then ideally I would like to paginate them. My code for retrieving the records works like so: Request URL: In my twig code I have the following: I then have at the end of the page. It shows the correct number of pages to iterate through but the target URL is inaccurate (missing the GET parameters) and so when going to the next page the records are no longer filtered therefore returning all. Is there a way to append my filter parameters? I am aware that it's possible to setup routes based on the taxonomy, i.e. and have that list results and paginate them. However this method falls short once you start to introduce multiple filter options which can be used singularly or in combination. Documentation Fetching records: Pager:",neutral
25438426,"The above script works without any exception errors, but if I modify import style: import Tkinter as Tk, it will complain about about argument 'LEFT, RIGHT, Y' and I had to make them lower letter in string form as below script, why is that?",neutral
25399136,"I've installed CIDER 0.7.0 and now when I start it inside of Emacs (via M-x cider-jack-in RET), I get the following warning: WARNING: CIDER's version (0.7.0) does not match cider-nrepl's version (not installed) I've downloaded and found out that it consists of closure code, not emacs lisp code. Since I've started exploring Clojure world just today, and there is no installation instructions on the project page, could you tell me how can I install cider-nrepl?",neutral
25664156,I am trying to create a datagridComboBoxcolumn in winforms with Suggestions Based on Loose Character Search similar to . but I want this as Datagridview combobox. I have created a grid with Datagridviewcombobox column and used autocomplete but it will search only from first characters. I want loose search. I used Please provide me a solution to create this type of datagridviewcombobox.,neutral
25374355,"I am trying to combine optionmenu and listbox to guide selection from a dictionary. Everything appears to be working fine. However, I am getting . Any idea why this error? Also, is it possible to use a spinbox in place of the listbox? Here's my code: Using Python 3.4.1",neutral
25342798,"I have a observable collection of US StateCodes and a boolean indicator. I data bound the collection to a view like so: When I run it, I get the expected row per state: But what I want is this: I have been spending time binging around google and I am not having much luck. Can anyone point me to a resource or give me some starter code to move me along? Thanks in advance.",negative
25577088,"Just installed new machine with ubuntu 14.04. The font list showing in Libre office has none of the fonts I usually use, and none of the fonts I need, although it is well equipped with fonts for various languages I never heard of. I looked around for fonts and found lots and lots of folders containing fonts. But I have no idea which folder Libre office might be accessing for its font list. If it is one folder, it is not any that I have found. Can anyone tell me which folder to look at, or whether I can direct Libre Office to the font folder of my choice?",neutral
25598520,"I'm doing my best to get my JS promise working but it's unable to return any results. If I do the function is able to console.log the result, but is unable to then return it on the very next line. I've been using these as references for promises: But the problem with these tutorials (at least the second one) is that they never explicitly return the result. They either console log it (which works) or use it immediately inside a function.",negative
